ley_a,ley_a_nombre,ley_a_corta,ley_b,ley_b_nombre,ley_b_corta,sector_a,sector_b,mismo_sector,citas_a_a_b,citas_b_a_a,textos_a_cita_b,textos_b_cita_a
ley-del-instituto-del-fondo-nacional-de-la-vivienda-para-los-trabajadores,LEY del Instituto del Fondo Nacional de la Vivienda para los Trabajadores,LINFONAVIT,ley-del-seguro-social,LEY del Seguro Social,LSS,vivienda,seguridad-social,False,10,2,"[Art.29 · high · lo_previsto] dores previstas en los sistemas de ahorro para el retiro, en los términos de la presente Ley y sus reglamentos, así como en lo conducente, conforme a lo previsto en la Ley del Seguro Social y en la Ley Federal del Trabajo. En lo que corresponde a la integración y cálculo de la base y límite superior ||| [Art.29 · high · en_los_terminos] 1-1997  La obligación de efectuar las aportaciones a que se refiere la fracción II anterior, se suspenderá cuando no se paguen salarios por ausencias en los términos de la Ley del Seguro Social, siempre que se dé aviso oportuno al Instituto, en conformidad al artículo 31. Tratándose de incapacidades ||| [Art.30 · high · prevista_en] uellas autorizadas por los institutos de seguridad social para recibir el pago de las cuotas del seguro de retiro, cesantía en edad avanzada y vejez, previsto en la Ley del Seguro Social, de aportaciones y descuentos de vivienda al Fondo Nacional de la Vivienda y de aportaciones voluntarias.  El Ins","[Art.182 · medium · direct_mention] Artículo 182. La documentación y demás características de estas cuentas, no previstas en esta Ley y en la Ley del Instituto del Fondo Nacional de la Vivienda para los Trabajadores, se sujetarán a lo dispuesto por la Ley para la Coordinación de los Sistemas de Ahorro para el Retiro. ||| [Art.302 · medium · direct_mention] Ahorro para el Retiro a efecto de emitir, dentro del año previo a que el trabajador cumpla setenta años, el aviso a que se refiere el artículo 37 de la Ley del Instituto del Fondo Nacional de la Vivienda para los Trabajadores. Párrafo adicionado DOF 30-04-2024  Para garantizar la imprescriptibilidad"
ley-general-de-educacion-superior,LEY General de Educación Superior,LGES,ley-general-de-educacion,LEY General de Educación,LGE,educacion,educacion,True,8,4,"[Art.75 · high · establecida_en] Artículo 75. Además de aquellas establecidas en la Ley General de Educación, son infracciones de quienes prestan servicios educativos:  I.	Ofrecer o impartir estudios denominados como técnico superior universitario, profesion ||| [Art.45 · medium · direct_mention] .	Contar con tecnología accesible para la realización de las funciones de docencia, y  IV.	Aplicar la Agenda Digital Educativa emitida en términos de la Ley General de Educación. ||| [Art.49 · medium · direct_mention] e tipo de educación, conforme a los principios, fines y criterios establecidos en la Constitución Política de los Estados Unidos Mexicanos, esta Ley, la Ley General de Educación y demás disposiciones aplicables;  II.	Establecer mecanismos de coordinación entre los subsistemas de educación superior, ","[Art.49 · high · establecida_en] con las instituciones públicas de educación superior, incluyendo a aquellas que la ley les otorga autonomía, conforme a lo previsto en esta Ley y lo establecido en la Ley General de Educación Superior. ||| [Art.146 · high · lo_dispuesto] impartir nuevos estudios se requerirá, según el caso, la autorización o el reconocimiento respectivos. En el tipo de educación superior, se estará a lo dispuesto en la Ley General de Educación Superior.  La autorización y el reconocimiento incorporan a las instituciones que los obtengan, respecto de ||| [Art.115 · medium · direct_mention] tados y de la Ciudad de México, en el ámbito de sus competencias, tendrán las correspondientes en materia de educación superior que se establezcan en la Ley General de Educación Superior."
codigo-fiscal-de-la-federacion,CÓDIGO Fiscal de la Federación,CFF,ley-del-impuesto-al-valor-agregado,LEY del Impuesto al Valor Agregado,LIVA,fiscal,fiscal,True,8,3,"[Art.113 · high · a_que_refiere] cual deberá ser objeto de reparación. Párrafo adicionado DOF 07-11-2025  Se sancionará con las mismas penas, a las plataformas de servicios digitales a que se refiere la Ley del Impuesto al Valor Agregado, así como a los titulares de las mismas que permitan la publicación de anuncios para la adquisi ||| [Art.23 · medium · direct_mention] icable tratándose de remanentes de saldos a favor del impuesto al valor agregado que hayan sido acreditados previamente en términos del artículo 6 de la Ley del Impuesto al Valor Agregado. Párrafo adicionado DOF 12-11-2021  La solicitud a que se refiere el sexto párrafo de este artículo podrá presen ||| [Art.29-A · medium · direct_mention] raciones que dieron lugar a la emisión de los documentos pendientes de cobro de conformidad con lo establecido por el artículo 1o.-C, fracción III de la Ley del Impuesto al Valor Agregado, deberán consignar la cantidad efectivamente pagada por el deudor cuando los adquirentes hayan otorgado descuent","[Art.3o · high · senalada_en] F 31-12-1998. Reformado DOF 31-12-1999, 30-12-2002  Para los efectos de este impuesto, se consideran residentes en territorio nacional, además de los señalados en el Código Fiscal de la Federación, las personas físicas o las morales residentes en el extranjero que tengan uno o varios establecimiento ||| [Art.8o · high · senalada_en] Artículo 8o.- Para los efectos de esta Ley, se entiende por enajenación, además de lo señalado en el Código Fiscal de la Federación, el faltante de bienes en los inventarios de las empresas. En este último caso la presunción admite prueba en contrario.  No se considerará enajenaci ||| [Art.32 · high · conformidad] ligaciones señaladas en otros artículos de esta Ley, las siguientes: Párrafo reformado DOF 30-12-1980, 27-03-1995, 15-12-1995  I.	Llevar contabilidad de conformidad con el Código Fiscal de la Federación y su Reglamento. Fracción reformada DOF 30-12-1980, 31-12-1981, 11-12-2013  II.- Realizar, tratán"
ley-de-coordinacion-fiscal,LEY de Coordinación Fiscal,LCF,ley-general-de-contabilidad-gubernamental,LEY General de Contabilidad Gubernamental,LGCG,fiscal,anticorrupcion,False,4,7,"[Art.1o · high · en_los_terminos] federativas y los municipios, relativa a la coordinación fiscal, se deberá regir por los principios de transparencia y de contabilidad gubernamental, en los términos de la Ley General de Contabilidad Gubernamental. Artículo reformado DOF 28-12-1989, 31-12-2000, 09-12-2013 ||| [Art.33 · high · en_los_terminos] ágina oficial de Internet de la entidad federativa, conforme a los lineamientos de información pública del Consejo Nacional de Armonización Contable, en los términos de la Ley General de Contabilidad Gubernamental;  d) Proporcionar a la Secretaría de Desarrollo Social, la información que sobre la ut ||| [Art.26-A · medium · direct_mention] ulos 48 y 49 de esta Ley, y  IX. La Secretaría de Educación Pública presentará a través de Internet la información a que se refiere el artículo 73 de la Ley General de Contabilidad Gubernamental, respecto al Fondo a que se refiere este artículo.  Los recursos a que se refieren las fracciones anterio","[Art.12 · high · a_que_refiere] Artículo 12.- El comité se integra por:  I.	Los miembros de la Comisión Permanente de Funcionarios Fiscales, a que se refiere la Ley de Coordinación Fiscal, con excepción del Secretario de Hacienda y Crédito Público;  II.	Un representante de los municipios por cada grupo de las entidades federativas ||| [Art.8 · medium · direct_mention] cretaría de la Función Pública;  VI.	Cuatro gobernadores de las entidades federativas de los grupos a que se refiere el artículo 20, fracción III, de la Ley de Coordinación Fiscal, conforme a lo siguiente:  a)	Un gobernador de alguna entidad federativa integrante de los grupos uno y tres;  b)	Un gob ||| [Art.68 · medium · direct_mention] cursos federales transferidos a dichos órdenes de gobierno, observarán las disposiciones específicas de las leyes citadas en el párrafo anterior y de la Ley de Coordinación Fiscal, así como las disposiciones del presente Capítulo. Párrafo reformado DOF 19-01-2018  En los programas en que concurran r"
ley-de-coordinacion-fiscal,LEY de Coordinación Fiscal,LCF,ley-federal-de-presupuesto-y-responsabilidad-hacendaria,LEY Federal de Presupuesto y Responsabilidad Hacendaria,LFPRH,fiscal,fiscal,True,6,5,"[Art.2o · medium · direct_mention] eral participable estará integrada por el 80.29% de los ingresos petroleros del Gobierno Federal a que se refiere el artículo 2, fracción XXX Bis, de la Ley Federal de Presupuesto y Responsabilidad Hacendaria, así como de los ingresos excedentes a que se refiere el tercer párrafo del artículo 93 de  ||| [Art.2-A · medium · direct_mention] 12-1986, 29-12-1993  II.- La transferencia del Fondo Mexicano del Petróleo para la Estabilización y el Desarrollo que, en términos del artículo 92 de la Ley Federal de Presupuesto y Responsabilidad Hacendaria, se realice a los municipios colindantes con la frontera o litorales por los que se realice ||| [Art.4o-B · medium · direct_mention] á conformado por los recursos que le transfiera el Fondo Mexicano del Petróleo para la Estabilización y el Desarrollo, en términos del artículo 91 de la Ley Federal de Presupuesto y Responsabilidad Hacendaria. Párrafo reformado DOF 31-12-2008, 11-08-2014  El Fondo a que se refiere este artículo será","[Art.107 · high · lo_previsto] de base para el cálculo del pago de las participaciones a las entidades federativas. La recaudación federal participable se calculará de acuerdo con lo previsto en la Ley de Coordinación Fiscal. La recaudación federal participable se comparará con la correspondiente al mismo mes del año previo y con ||| [Art.19 · medium · direct_mention] en los convenios de colaboración administrativa en materia fiscal federal celebrados entre la Secretaría y las entidades federativas, en términos de la Ley de Coordinación Fiscal, respecto de los montos pagados por los créditos fiscales federales propios que realicen las entidades federativas, sus m ||| [Art.85 · medium · direct_mention] berán incluir información sobre la incidencia del ejercicio de los recursos de los Fondos de Aportaciones Federales a que se refiere el Capítulo V de la Ley de Coordinación Fiscal, de manera diferenciada entre mujeres y hombres. Párrafo adicionado DOF 19-01-2012  Para los efectos de esta fracción, l"
constitucion-politica-de-los-estados-unidos-mexicanos,CONSTITUCIÓN Política de los Estados Unidos Mexicanos,CPEUM,ley-del-impuesto-sobre-la-renta,LEY del Impuesto sobre la Renta,LISR,constitucional,fiscal,False,1,9,[Art.123 · medium · direct_mention] culares;  e) Para determinar el monto de las utilidades de cada empresa se tomará como base la renta gravable de conformidad con las disposiciones de la Ley del Impuesto sobre la Renta. Los trabajadores podrán formular ante la Oficina correspondiente de la Secretaría de Hacienda y Crédito Público la,"[Art.9 · high · constitucion_full] ones autorizadas por este Título y la participación de los trabajadores en las utilidades de las empresas pagada en el ejercicio, en los términos del artículo 123 de la Constitución Política de los Estados Unidos Mexicanos.  II.	A la utilidad fiscal del ejercicio se le disminuirán, en su caso, las p ||| [Art.14 · high · constitucion_full] s conceptos:  a)	El monto de la participación de los trabajadores en las utilidades de las empresas pagada en el mismo ejercicio, en los términos del artículo 123 de la Constitución Política de los Estados Unidos Mexicanos. El citado monto de la participación de los trabajadores en las utilidades de ||| [Art.57 · high · constitucion_full] do se incrementará, en su caso, con la participación de los trabajadores en las utilidades de las empresas pagada en el ejercicio en los términos del artículo 123 de la Constitución Política de los Estados Unidos Mexicanos.  La pérdida fiscal ocurrida en un ejercicio podrá disminuirse de la utilidad"
ley-de-instituciones-de-credito,LEY de Instituciones de Crédito,LIC,ley-para-regular-las-agrupaciones-financieras,LEY para Regular las Agrupaciones Financieras,LRAF,financiero,financiero,True,6,4,"[Art.27 · high · a_que_refiere] convenio de fusión, y de las modificaciones que correspondería realizar a los estatutos de las propias sociedades y al convenio de responsabilidades a que se refiere la Ley para Regular las Agrupaciones Financieras; el plan de fusión de dichas sociedades, con indicación de las etapas en que deberá l ||| [Art.45-A · high · en_los_terminos] rio nacional de Filiales; y  III. Sociedad Controladora Filial: La sociedad mexicana autorizada para constituirse y operar como sociedad controladora en los términos de la Ley para Regular las Agrupaciones Financieras, y en cuyo capital participe una Institución Financiera del Exterior. Artículo adi ||| [Art.22 · medium · direct_mention] dad mantiene el control de dichas personas morales. Asimismo, se considerarán como grupo empresarial a los grupos financieros constituidos conforme a la Ley para Regular las Agrupaciones Financieras, y  VI. Poder de mando, la capacidad de hecho de influir de manera decisiva en los acuerdos adoptados","[Art.34 · high · a_que_refiere] te, y que reúna los requisitos y condiciones que determine la Comisión Nacional Bancaria y de Valores, mediante las disposiciones de carácter general a que se refiere la Ley de Instituciones de Crédito, en las que igualmente se establecerán los supuestos bajo los cuales, se considerará que un consej ||| [Art.120 · high · conformidad] e las pérdidas se determinará con base en los resultados del estudio técnico que al efecto elabore el Instituto para la Protección al Ahorro Bancario de conformidad con la Ley de Instituciones de Crédito, dentro de los diez días hábiles siguientes a la fecha en que la Junta de Gobierno del propio In ||| [Art.30 · medium · direct_mention] Artículo 30.- Las Sociedades Controladoras podrán emitir obligaciones subordinadas sujetándose a lo dispuesto en esta Ley y en el artículo 64 de la Ley de Instituciones de Crédito."
ley-de-los-sistemas-de-ahorro-para-el-retiro,LEY de los Sistemas de Ahorro para el Retiro,LSAR,ley-del-instituto-de-seguridad-y-servicios-sociales-de-los-trabajadores-del-estado,LEY del Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,LISSSTE,financiero,seguridad-social,False,7,3,"[Art.18 · high · lo_dispuesto] ntas vitalicias o del seguro de sobrevivencia; Fracción reformada DOF 10-12-2002  X. Funcionar como entidades financieras autorizadas, en términos de lo dispuesto por la Ley del Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado u otros ordenamientos, y Fracción reformada DOF ||| [Art.74 · high · prevista_en] etiro  II. Subcuenta del fondo de la vivienda  III. Subcuenta de aportaciones voluntarias.  Las subcuentas referidas en las fracciones I y II son las previstas en la Ley del Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado, por lo que se regirán por lo dispuesto en dicha le ||| [Art.83 · high · establecida_en] e la Ley del Seguro Social, más un treinta por ciento.  Los planes de pensiones mencionados podrán fijar edad y periodos de servicio diferentes a los establecidos en la Ley del Seguro Social o en la Ley del Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado, según sea el caso","[Art.13 · high · regulada_por] e deberá dar acceso continuo a la Comisión Nacional del Sistema de Ahorro para el Retiro y a las empresas operadoras de la Base de Datos Nacional SAR reguladas en la Ley de los Sistemas de Ahorro para el Retiro, con excepción de lo relacionado con la información médica de los Derechohabientes, la cu ||| [Art.97 · high · prevista_en] ajadores podrán solicitar el traspaso de su Cuenta Individual al PENSIONISSSTE o a una Administradora diferente a la que opere la cuenta en los casos previstos en la Ley de los Sistemas de Ahorro para el Retiro. ||| [Art.189 · medium · direct_mention] co de México le lleve al Instituto por lo que respecta al Fondo de la Vivienda, en los términos y conforme a los procedimientos que se establezcan en el Reglamento de la Ley de los Sistemas de Ahorro para el Retiro. Dichos recursos deberán invertirse, en tanto se aplican a los créditos a favor de lo"
ley-de-navegacion-y-comercio-maritimos,LEY de Navegación y Comercio Marítimos,LNCM,ley-de-puertos,LEY de Puertos,LPUE,mercantil,mercantil,True,8,2,"[Art.2 · high · establecida_en] las mismas; Fracción adicionada DOF 26-12-2013. Reformada DOF 07-12-2020  VII Ter. CUMAR: El Centro Unificado para la Protección Marítima y Portuaria establecido en la Ley de Puertos; Fracción adicionada DOF 26-12-2013  VIII. Propietario: la persona física o moral titular del derecho real de propied ||| [Art.8 · high · conforme_dispuesto] gación y la salvaguarda de la vida humana en el mar; Fracción reformada DOF 07-12-2020  X. Establecer las Medidas de Protección Marítima y Portuaria, conforme a lo dispuesto en la Ley de Puertos; Fracción reformada DOF 07-12-2020  XI. Establecer las bases de regulación de tarifas en la prestación de ||| [Art.9 · high · conforme_dispuesto] tas de mar e identidad marítima del personal embarcado de la Marina Mercante mexicana;  VII. Ordenar las medidas que le sean requeridas por el CUMAR, conforme a lo dispuesto en la Ley de Puertos;  VIII. Recibir y tramitar ante las autoridades correspondientes las reclamaciones laborales de los tripu","[Art.17 · medium · direct_mention] ARTICULO 17.- En cada puerto habilitado existirá una capitanía de puerto, a la que le corresponderá las funciones que le otorga la Ley de Navegación y Comercio Marítimos. Artículo reformado DOF 11-06-2012, 19-12-2016 ||| [Art.44 · medium · direct_mention] realizar sus operaciones de navegación interna, tales como el pilotaje, remolque, amarre de cabos y lanchaje;  El servicio de pilotaje se regirá por la Ley de Navegación y Comercio Marítimos y Reglamentos aplicables. Párrafo adicionado DOF 23-01-2014  II. Servicios generales a las embarcaciones, tal"
ley-federal-de-procedimiento-contencioso-administrativo,LEY Federal de Procedimiento Contencioso Administrativo,LFPCA,ley-organica-del-tribunal-federal-de-justicia-administrativa,LEY Orgánica del Tribunal Federal de Justicia Administrativa,LOTFJA,administrativo,fiscal,False,5,5,"[Art.12 · high · en_los_terminos] ente de la Sección o de la Sala Regional turnará el asunto al Presidente del Tribunal, a fin de que la califique y, de resultar fundada, se procederá en los términos de la Ley Orgánica del Tribunal Federal de Justicia Fiscal y Administrativa.  TÍTULO II De la Substanciación y Resolución del Juicio   ||| [Art.35 · high · en_los_terminos] forme se presumirá cierto el impedimento. Si el Pleno del Tribunal considera fundada la recusación, el magistrado de la Sala Regional será sustituido en los términos de la Ley Orgánica del Tribunal Federal de Justicia Fiscal y Administrativa. Si se trata de magistrado de Sala Superior, deberá absten ||| [Art.56 · high · en_los_terminos] que no excederá de quince días para que el magistrado formule el proyecto respectivo. Si el mismo no cumpliere con dicha obligación, será sustituido en los términos de la Ley Orgánica del Tribunal Federal de Justicia Fiscal y Administrativa.  En el supuesto de que la excitativa se promueva por no ha","[Art.31 · high · lo_previsto] y para resolver bastará mayoría de votos.  En los juicios en la vía sumaria, el Magistrado que haya instruido el juicio lo resolverá, en términos de lo previsto en la Ley Federal de Procedimiento Contencioso Administrativo.  Las sesiones de las Salas Regionales, así como las diligencias o audiencias ||| [Art.36 · high · en_los_terminos] ia definitiva y, en su caso, de cumplimiento de ejecutorias;  IX.	Dictar los acuerdos y providencias relativas a las medidas cautelares provisionales en los términos de la Ley Federal de Procedimiento Contencioso Administrativo, así como proponer a la Sala el proyecto de resolución correspondiente a ||| [Art.65 · high · terminos_establecido] y un Oficial Jurisdiccional en cada región, para atender y resolver, en los casos urgentes que no admitan demora, las medidas cautelares y suspensión en términos de lo establecido por la Ley Federal de Procedimiento Contencioso Administrativo.  Únicamente se recibirán promociones en la oficialía de "
ley-de-aguas-nacionales,LEY de Aguas Nacionales,LAN,ley-federal-de-derechos,LEY Federal de Derechos,LFD,ambiental,propiedad-intelectual,False,2,7,"[Art.14 · high · lo_dispuesto] .	Las personas usuarias del agua deben pagar por su explotación, uso o aprovechamiento bajo el principio de persona ""usuaria-pagadora"" de acuerdo con lo dispuesto en la Ley Federal de Derechos; Fracción reformada DOF 11-12-2025  XVII. Las personas físicas o morales que contaminen los recursos hídric ||| [Art.112 · medium · direct_mention] bsuelo, así como de los bienes nacionales que administre ""la Comisión"", motivará el pago por parte de la persona usuaria de las cuotas que establezca la Ley Federal de Derechos. Párrafo reformado DOF 11-12-2025  La explotación, uso o aprovechamiento de bienes del dominio público de la Nación como cu","[Art.192-A · high · a_que_refiere] ión y extracción de hidrocarburos en yacimientos no convencionales, y  k).	Para la exploración o explotación de yacimientos geotérmicos hidrotermales a que se refiere la Ley de Aguas Nacionales. Fracción con incisos reformada DOF 09-12-2019  V.	Por cada título de concesión para el uso o aprovechamie ||| [Art.276 · high · conformidad] residuales de cumplir con los límites permisibles establecidos en las Normas Oficiales Mexicanas y con las condiciones particulares de sus descargas, de conformidad con la Ley de Aguas Nacionales. Párrafo adicionado DOF 11-12-2013. Reformado DOF 13-11-2023 Artículo adicionado DOF 26-12-1990. Reforma ||| [Art.224 · medium · direct_mention] otación, beneficio o aprovechamiento de las mismas, para uso industrial o de servicios.  IV.	Por los usos agrícola y pecuario definidos como tales en la Ley de Aguas Nacionales y siempre que sus procesos se efectúen de forma indivisa, incluyendo a los distritos y unidades de riego, así como a las ju"
ley-de-ingresos-de-la-federacion-para-el-ejercicio-fiscal-de-2026,LEY de Ingresos de la Federación para el Ejercicio Fiscal de 2026,LIF_2026,ley-federal-de-presupuesto-y-responsabilidad-hacendaria,LEY Federal de Presupuesto y Responsabilidad Hacendaria,LFPRH,fiscal,fiscal,True,8,1,"[Art.13 · high · en_los_terminos] to de energía eléctrica, de otros aprovechamientos y de desincorporaciones distintos de entidades paraestatales, respectivamente, se podrán destinar, en los términos de la Ley Federal de Presupuesto y Responsabilidad Hacendaria, a programas y proyectos de inversión. En tanto no sean autorizados los  ||| [Art.18 · high · en_los_terminos] esta Ley a los ingresos que por cualquier concepto reciban las entidades de la Administración Pública Federal Paraestatal que estén sujetas a control en los términos de la Ley Federal de Presupuesto y Responsabilidad Hacendaria, de su Reglamento y del Presupuesto de Egresos de la Federación para el  ||| [Art.22 · high · en_los_terminos] ción constitucional, las dependencias del Ejecutivo Federal y sus órganos administrativos desconcentrados, así como las entidades, se deberán aplicar en los términos de la Ley Federal de Presupuesto y Responsabilidad Hacendaria y su Reglamento, sin perjuicio de lo dispuesto en el artículo 16 de esta",[Art.2 · medium · direct_mention] a directa: las erogaciones que tienen como contraprestación la constitución de un activo; Fracción adicionada DOF 24-01-2014  XXXII. Ley de Ingresos: la Ley de Ingresos de la Federación para el ejercicio fiscal correspondiente;  XXXII Bis. Límite máximo del gasto corriente estructural: es el gasto c
ley-de-ingresos-sobre-hidrocarburos,LEY de Ingresos sobre Hidrocarburos,LIH,ley-del-impuesto-sobre-la-renta,LEY del Impuesto sobre la Renta,LISR,fiscal,fiscal,True,7,2,"[Art.4 · high · establecida_en] de las Contraprestaciones que se establezcan en los Contratos no exime a los Contratistas del cumplimiento de las obligaciones en materia tributaria establecidas en la Ley del Impuesto sobre la Renta y demás disposiciones fiscales. ||| [Art.30 · medium · direct_mention] el Desarrollo Económico en 1995, o aquéllas que las sustituyan, en la medida en que las mismas sean congruentes con las disposiciones de esta Ley, de la Ley del Impuesto sobre la Renta y de los tratados celebrados por México. ||| [Art.31 · medium · direct_mention] ormada DOF 18-03-2025  III.	No tributar en el régimen fiscal opcional para grupos de sociedades a que se refiere el Capítulo VI del Título Segundo de la Ley del Impuesto sobre la Renta.  Las Empresas Públicas del Estado y Personas Morales pueden participar en los procesos de licitación de forma indi","[Art.16 · medium · direct_mention] ctos de este Título, son las contraprestaciones en especie a favor del contratista a que se refieren los artículos 6, apartado B y 12, fracción II de la Ley de Ingresos sobre Hidrocarburos, siempre que para la determinación del impuesto sobre la renta a su cargo no se considere como costo de lo vend ||| [Art.76 · medium · direct_mention] upuesto a que se refiere el penúltimo párrafo del artículo 179 de esta Ley y los que tengan el carácter de contratistas o asignatarios en términos de la Ley de Ingresos sobre Hidrocarburos. Párrafo reformado DOF 30-11-2016  El ejercicio de las facultades de comprobación respecto a la obligación prev"
ley-de-planeacion-y-transicion-energetica,LEY de Planeación y Transición Energética,LPTE,ley-del-sector-electrico,LEY del Sector Eléctrico,LIE,administrativo,energia,False,7,2,"[Art.3 · high · en_los_terminos] sociales, ambientales y a la salud, que involucran su producción y consumo; XIV.	Generación Limpia Distribuida: Generación de energía eléctrica que, en los términos de la Ley del Sector Eléctrico, cumple con las siguientes características: a)	Se realiza por un generador exento de permiso; b)	Se real ||| [Art.3 · high · regulada_por] to de la Ley de Planeación y Transición Energética; XXIII.	Sector Energético: Se refiere a las actividades en materia de electricidad e hidrocarburos reguladas en la Ley del Sector Eléctrico y la Ley del Sector Hidrocarburos respectivamente, así como aquellas establecidas en la Ley de Biocombustible ||| [Art.60 · high · establecida_en] Artículo 60.- Con el objetivo de fomentar el crecimiento de Energías Limpias a que se refiere la presente Ley y en los términos establecidos en la Ley del Sector Eléctrico, la Secretaría establece criterios para reconocer a los generadores de Energía Limpia y para otorgar los Certificados de Energía","[Art.3 · medium · direct_mention] vicios de transmisión y distribución y Control Operativo del Sistema Eléctrico Nacional, así como los otros productos y derechos de cobro que definan la Ley de Planeación y Transición Energética, y las Reglas del Mercado; XXXIX.	Proyectos de Infraestructura: Conjunto de elementos que se consideran n ||| [Art.12 · medium · direct_mention] arácter vinculante y está a cargo de la Secretaría, autoridad que debe elaborar el Plan de Desarrollo del Sector Eléctrico, en términos de esta Ley y la Ley de Planeación y Transición Energética. La planeación vinculante, en el sector eléctrico, debe considerar los siguientes principios: I.	Procurar"
ley-general-de-desarrollo-forestal-sustentable,LEY General de Desarrollo Forestal Sustentable,LGDFS,ley-general-del-equilibrio-ecologico-y-la-proteccion-al-ambiente,LEY General del Equilibrio Ecológico y la Protección al Ambiente,LGEEPA,ambiental,ambiental,True,5,4,"[Art.22 · high · prevista_en] cífica para el desarrollo de las funciones que soliciten asumir.  Asimismo, los convenios y acuerdos deberán ajustarse, en lo conducente, a las bases previstas en la Ley General del Equilibrio Ecológico y la Protección al Ambiente y en la Ley de Planeación. ||| [Art.75 · high · en_los_terminos] Artículo 75. Los siguientes aprovechamientos forestales requieren la autorización en materia de impacto ambiental, en los términos de la Ley General del Equilibrio Ecológico y la Protección al Ambiente:  I.	En selvas tropicales mayores a 20 hectáreas;  II.	En aprovechamientos de especies forestales  ||| [Art.156 · high · prevista_en] tado los medios de defensa, se haya declarado su validez. Párrafo adicionado DOF 11-04-2022  La Procuraduría podrá determinar algunos de los destinos previstos en la Ley General del Equilibrio Ecológico y la Protección al Ambiente, o bien transferir los bienes decomisados al Instituto Nacional para ","[Art.100 · high · lo_dispuesto] eneración y capacidad productiva de los terrenos, la autoridad competente revocará, modificará o suspenderá la autorización respectiva en términos de lo dispuesto por la Ley General de Desarrollo Forestal Sustentable. Artículo reformado DOF 13-12-1996, 25-02-2003 ||| [Art.4o · medium · direct_mention] materia de regulación del aprovechamiento sustentable, la protección y la preservación de los recursos forestales y el suelo, estará determinada por la Ley General de Desarrollo Forestal Sustentable. Párrafo adicionado DOF 25-02-2003 Artículo reformado DOF 13-12-1996 ||| [Art.77 · medium · direct_mention] o en el Reglamento. Lo previsto en esta fracción no aplica para el aprovechamiento de recursos forestales cuyos productos se certificarán con base en la Ley General de Desarrollo Forestal Sustentable, y  VI.- El Reglamento establecerá los procedimientos relativos a la modificación de superficies o e"
ley-general-de-organizaciones-y-actividades-auxiliares-del-credito,LEY General de Organizaciones y Actividades Auxiliares del Crédito,LGOAAC,ley-general-de-titulos-y-operaciones-de-credito,LEY General de Títulos y Operaciones de Crédito,LGTOC,financiero,financiero,True,8,1,"[Art.11 · high · a_que_refiere] sito tendrán a su cargo la facultad exclusiva de expedir certificados de depósito lo cual deberá llevarse a cabo a través de un sistema criptográfico a que se refiere la Ley General de Títulos y Operaciones de Crédito. Párrafo reformado DOF 26-03-2024  Dichos títulos de crédito se regirán por las di ||| [Art.46 · high · conformidad] frutos y mercancías, las organizaciones auxiliares del crédito podrán efectuar la venta de los títulos, bienes o mercancías, en los casos que proceda de conformidad con la Ley General de Títulos y Operaciones de Crédito, por medio de corredor público titulado o de dos comerciantes de la localidad, c ||| [Art.48-A · high · lo_previsto] os términos y condiciones en que podrá procederse a su remoción y a la designación del nuevo representante. No será aplicable a estos representantes, lo previsto en la Ley General de Títulos y Operaciones de Crédito, para los representantes comunes de obligacionistas. Artículo adicionado DOF 15-07-1","[Art.229 · medium · direct_mention] su caso, la constitución de un crédito prendario sobre dichas mercancías o bienes.  Sólo los Almacenes Generales de Depósito, autorizados conforme a la Ley General de Organizaciones y Actividades Auxiliares del Crédito, podrán expedir estos títulos.  Los certificados de depósito únicamente se emitir"
